"","Year","Month","State","Location","Food","Species","Ingredient","Serotype.Genotype","Illnesses","Hospitalizations","Fatalities","Status"
"337",1998,4,7,1,24,6,6,9,18,0.94752807538402,0.0217167160716587,1
"338",1998,4,33,1,81,6,6,9,53,0,0,0
"339",1998,4,34,5,37,7,6,9,30,0,0,1
"340",1998,4,35,14,164,6,6,9,65,0,0,1
"341",1998,4,35,7,125,15,6,9,47,5,0,1
"342",1998,4,8,4,165,7,6,9,15,0.94752807538402,0.0217167160716587,1
"343",1998,4,8,1,37,7,6,9,19,0.94752807538402,0.0217167160716587,1
"344",1998,4,8,1,166,7,6,9,3,0.94752807538402,0.0217167160716587,1
"345",1998,4,8,1,167,7,6,9,5,0.94752807538402,0.0217167160716587,1
"346",1998,4,8,1,37,7,6,9,4,0,0,1
"347",1998,4,8,1,42,7,6,9,3,0.94752807538402,0.0217167160716587,1
"348",1998,4,8,1,37,7,6,9,5,0.94752807538402,0.0217167160716587,1
"349",1998,4,8,1,168,7,6,9,2,0.94752807538402,0.0217167160716587,1
"350",1998,4,8,4,169,7,6,9,32,0.94752807538402,0.0217167160716587,1
"351",1998,4,8,1,37,7,6,9,6,0.94752807538402,0.0217167160716587,1
"352",1998,4,8,1,37,7,6,9,3,0.94752807538402,0.0217167160716587,1
"353",1998,4,9,5,170,7,6,9,71,2,0,1
"354",1998,4,9,1,37,7,6,9,33,0.94752807538402,0,1
"355",1998,4,10,1,15,7,6,9,3,0.94752807538402,0.0217167160716587,1
"356",1998,4,10,1,171,7,6,9,4,0.94752807538402,0.0217167160716587,1
"357",1998,4,10,14,43,7,6,9,5,0.94752807538402,0.0217167160716587,1
"358",1998,4,10,1,42,7,6,9,4,0.94752807538402,0.0217167160716587,1
"359",1998,4,10,5,172,7,6,9,2,0.94752807538402,0.0217167160716587,1
"360",1998,4,10,5,138,9,6,9,25,0.94752807538402,0.0217167160716587,1
"361",1998,4,10,1,173,7,6,9,7,0.94752807538402,0.0217167160716587,1
"362",1998,4,10,1,16,7,6,9,4,0,0,1
"363",1998,4,10,1,174,7,6,9,2,0,0,1
